Con,Contp,PP,PPName,Reg,AgtId,Ver,Agt,Dat,Status,Lgt,N_characters,Agtp,Stage,StageSub,Part,ThrdPart,OthAgr,Loc1ISO,Loc2ISO,Loc1GWNO,Loc2GWNO,UcdpCon,UcdpAgr,PamAgr,CowWar,GCh,GChRhet,GChAntid,GChSubs,GChOth,GDis,GDisRhet,GDisAntid,GDisSubs,GDisOth,GAge,GAgeRhet,GAgeAntid,GAgeSubs,GAgeOth,GMig,GMigRhet,GMigAntid,GMigSubs,GMigOth,GRa,GRaRhet,GRaAntid,GRaSubs,GRaOth,GRe,GReRhet,GReAntid,GReSubs,GReOth,GInd,GIndRhet,GIndAntid,GIndSubs,GIndOth,GOth,GOthRhet,GOthAntid,GOthSubs,GOthOth,GRef,GRefRhet,GRefSubs,GRefOth,GSoc,GSocRhet,GSocAntid,GSocSubs,GSocOth,GeWom,GeMe,GeMeNu,GeMeOth,GeLgbti,GeLgbtiPos,GeLgbtiNeg,GeFa,StDef,StGen,StCon,StSd,StRef,StSym,StInd,StUni,StBor,StXbor,Pol,PolGen,PolNewInd,PolNewTemp,ConRen,Cons,Ele,ElecComm,PolPar,PolParTrans,PolParOth,Civso,Tral,Pubad,Polps,PpsSt,PpsSub,PpsEx,PpsOro,PpsOthPr,PpsVet,PpsAut,PpsInt,PpsOth,Terps,TpsSub,TpsLoc,TpsAut,TpsOth,Eps,EpsRes,EpsFis,EpsOth,Mps,MpsMe,MpsJt,MpsPro,MpsOth,HrGen,EqGen,HrDem,Prot,ProtCiv,ProtGrp,ProtLgl,ProtOth,HrFra,HrfSp,HrfBor,HrfTinc,HrfOth,HrCp,CprLife,CprTort,CprEq,CprSlav,CprLib,CprDet,CprFmov,CprFspe,CprFass,CprTria,CprPriv,CprVote,CprReli,CprOth,HrSec,SerProp,SerWork,SerHeal,SerEdu,SerStdl,SerShel,SerSs,SerCult,SerOth,HrNi,HrNiMe,HrNiNe,HrNiOth,HrIi,HrIiMon,HrIiBod,HrIiOth,HrMob,HrDet,Med,MedGov,MedSubs,MedLog,MedOth,HrCit,CitGen,CitRights,CitDef,CitOth,JusCr,JusCrSp,JusCrSys,JusCrPow,JusEm,JusJu,JusPri,JusTra,Dev,DevSoc,DevHum,DevInfra,NEC,NatRes,IntFu,Bus,Tax,TaxPo,TaxRef,TaxOth,Ban,CenBan,BanPers,BanInt,BanXb,LaRef,LaRefMan,LaRefRet,LaRefOth,LaNom,LaCH,LaCHTa,LaCHIt,LaCHPro,LaCHOth,LaEn,Wat,SsrGua,Ce,CeProv,CeGen,SsrPol,SsrArm,SsrDdr,DdrDemil,DdrProg,SsrInt,SsrPsf,SsrFf,Cor,SsrCrOcr,SsrDrugs,Terr,TjGen,TjAm,TjAmPro,TjSan,TjPower,TjAmBan,TjCou,TjJaNc,TjJaIc,TjMech,TjPrire,TjVet,TjVic,TjMis,TjRep,TjRSym,TjRMa,TjNR,ImUN,ImOth,ImRef,ImPK,ImE,ImSrc
Angola,Government,4,"Angola: UNITA process","Africa (excl MENA)",978,1,"Luena Memorandum of Understanding (Addendum to the Lusaka Protocol for the Cessation of Hostilities and the Resolution of the Outstanding Military Issues under the Lusaka Protocol)",2002-04-04,"Multiparty signed/agreed",65,45258,Intra,SubPar,Iss,"GENERAL OF THE ARMY, ARMANDO DA CRUZ NETO

Commander in Chief, UNITA, GENERAL GERALDO ABREU MUENGO
UCUATCHITEMBO   ""KAMORTEIRO""

Commander in Chief, UNITA ARMADAS ANGOLANAS

","ONU
IBRAHIM GAMBARI
UNDERSECRETARY GENERAL OF THE UN
AND SPECIAL ADVISOR FOR AFRICA
FOR THE OBSERVER COUNTRIES TO THE ANGOLAN PEACE PROCESS
CHRISTOPHER WILLIAM DELL
AMBASSADOR OF THE UNITED STATES OF AMERICA IN ANGOLA
ANDREEV SERGUEI VADIMOVICH
AMBASSADOR OF THE RUSSIAN FEDERATION IN ANGOLA
FERNANDO MENDONÇA D'OLIVEIRA NEVES
AMBASSADOR OF THE PORTUGUESE REPUBLIC IN ANGOLA","Taking into account the Lusaka Protocol, signed 20 November 1994; ",AGO,,540,,327,1126,21,907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,3,0,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1
Angola,Government,4,"Angola: UNITA process","Africa (excl MENA)",305,1,"Angolan Government's Peace Plan",2002-03-13,"Multiparty signed/agreed",3,7584,Intra,Imp,ImpOth,"Note: The agreement does not have any signatories, however the preamble states that the peace plan is the product of the Government of Unity and National Reconciliation of the Republic of Angola.",,"[Summary: agreement in its entirety emphasises the need to respect the Bicesse Accords, Lusaka Protocol and United Nations Security Council resolutions on Angola]

Page 1,
... In order to achieve peace, the government has set out an agenda that necessarily involves the solution of all military issues resulting from the armed conflict that started after the formation of the Angolan Armed Forces, in accordance with the Bicesse Accords and the Lusaka Protocol.",AGO,,540,,327,,,907,2,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
Angola,Government,4,"Angola: UNITA process","Africa (excl MENA)",299,1,"Agreement signed by the Government of the Republic of Angola and UNITA Renovada on 18 February 1999(Annex II to Agreement signed by the Government of the Republic of Angola and UNITA Renovada (Luanda Protocol))",1999-02-18,"Multiparty signed/agreed",2,2894,Intra,Imp,ExtSub,"Individual signatories not listed.

Provided that is agreed 'For the Government of Angola; For UNITA;'",,"Page 1, Annex II, Untitled Preamble
The Lusaka Protocol, signed by the Government and UNITA, aims at fostering true reconciliation among the Angolan people, to be translated into unity, democracy and reconstruction and development of the country.

Page 1, Annex II, Untitled Preamble
... In that sense the creation of the GURN and the Incorporation of the members of UNITA into their parliamentary saats^ were important steps towards national reconciliation. These steps were taken by the signatories of the Lusaka Protocol, with due respect for the Constitution and the laws, the Peace Agreements and its respective Protocol as well as all other international principles relative tot he consolidation of the Peace Process.

Page 1, Annex II, Untitled Preamble
... Savimbi, who once again has chosen the use of force, in total violation of the agreed principles. As a result of this behavior, he was unseated from the leadership of the party, during UNITA's IX Congress held from 11 to 15 January 1999 in Luanda.

Page 1, Annex II, Untitled Preamble
... The new UNITA leadership is thereby considered the only valid interlocutor for the continuation of the implementation of the Lusaka Protocol, which it accepts and pledges to support

Page 1, Annex II, Untitled Preamble
... Thus, given the need for both the Government and UNITA to comply with its terms in what has to do with the normalization of the administration of the state over the whole of the national territory, with due respect to the constitution and the principles enshrined in the Lusaka Protocol.",AGO,,540,,327,,,907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Angola,Government,4,"Angola: UNITA process","Africa (excl MENA)",300,1,"Agreement with UNITA-Renovada Updating the Lusaka Protocol Concerning the Appointment of UNITA Cadres to Government Positions (Annex III to Agreement signed by the Government of the Republic of Angola and UNITA Renovada (Luanda Protocol))",1999-02-18,"Multiparty signed/agreed",2,3614,Intra,Pre,PreMix,"[Note: No individual signatories listed.]
For the Government of Angola; For UNITA;",,"Page 1, Annex III
Although the electoral law established the principles for the holding of the second round in tfie presidential election, the Lusaka Protocol, which is the juridical and political element that regulates the Angolan Peace Process, establishes in it, Annex 7, that the elections should take place as soon as military, political, material and security conditions allow it, that is to say:

Page 2, Annex III
... a) Point II.5, Annex 7, of the work agenda of the Lusaka Protocol relative to the conclusion of the electoral process is considered concluded;",AGO,,540,,327,,,907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Angola,Government,4,"Angola: UNITA process","Africa (excl MENA)",301,1,"Agreement with UNITA-Renovada Updating the Lusaka Protocol Concerning the Reinstatement of Government Administration over the National Territory (Luanda Protocol)",1999-02-18,"Multiparty signed/agreed",2,2894,Intra,Pre,,"For the Government of Angola: Faustino Muteka;
For UNITA: Eugenio Manuvakola;",,"Page 1,
The Protocol of Lusaka, signed by the Government and UNITA, aims at fostering true reconciliation among the Angolan people, to be translated into unity, democracy and reconstruction and development for the country;",AGO,,540,,327,,,907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
Angola,Government,4,"Angola: UNITA process","Africa (excl MENA)",1,1,"Final Timetable for the Implementation of the Lusaka Protocol, Approved by the Joint Commission at Luanda, 9 January 1998",1998-01-09,"Multiparty signed/agreed",2,2756,Intra,Imp,ImpMod,"[Note: Parties not listed.]",,,AGO,,540,,327,,,907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Angola,Government,4,"Angola: UNITA process","Africa (excl MENA)",439,1,"Lusaka Protocol",1994-11-15,"Multiparty signed/agreed",66,138110,Intra,SubComp,FrAg,"For the Government of the Republic of Angola, José Eduardo dos Santos, President of the Republic of Angola;
For the ""Uniâo Nacional para a Independencia Total de Angola"" (UNITA), Jonas Maiheiro Savimbi, President of UNITA;","UN- mediators, represented by SRSG to Angola (initialled at the same time as the parties initialled the agreement); US, Russia, Portugal (observer states)

For the United Nations Organization, Alioune Blondin Beye, Special Representative of the Secretary-General of the United Nations in Angola;","Page 4, ANNEX 1, AGENDA OF THE ANGOLA PEACE TALKS BETWEEN THE GOVERNMENT AND UNITA
I. Reaffirmation of the acceptance by the Government and by UNITA of the relevant legal instruments:
1. The ""Acordos de Paz""
2. Security Council Resolutions.
II. Continuation of the implementation of the ""Acordos de Paz"" and completion of the work of the Abidjan talks:

Page 6, [Letter from Fernando Faustino Muteka, head of the Angolan Government Delegation,  to the UN Special Representative]
The Government of the Republic of Angola also reaffirms its unequivocal acceptance of the resolutions of the United Nations Security Council relating to the post-electoral conflict, ¡n particular, resolutions 804, of 29 January 1993; Ml I. of 12 March 1993; S23, of 30 April 1993; S34, of I June 1993; S51, of 14 July 1993 and 864, of 15 September 1993.

Page 7, [Letter, signed 'Dembo'] 
UNITA'S POSITION ON ITEM I.I OF THE LUSAKA-II AGENDA: 
UNITA reaffirms the validity of the ""Acordos de Paz para Angola"" as the basis for peace in Angola.
Taking into consideration the current situation of our country and the imperatives of peace, the ""Acordos de Paz para Angola"" must be updated.

Page 7, [Letter, signed 'Dembo']
UNITA'S POSITION ON ITEM 1.2 OF THE LUSAKA-II AGENDA:
UNITA reaffirms that it has taken good note of the Security Council resolutions relating to the Angolan crisis, particularly resolution N64W, as indicated in our letter dated 30 October 1993 addressed to His Excellency. Dr. Boutros Boutros Ghali, Secretary General of the UN.

Page 47, ANNEX 8, II.3 THE UNITED NATIONS MANDATE, THE ROLE OF THE OBSERVERS OF THE ""ACORDOZ DE PAZ"" AND THE JOINT COMMISSION, A. THE UNITED NATIONS MANDATE, I. GENERAL PRINCIPLES
1. The Government of the Republic of Angola (the Government) and the National Union for the Total Independence of Angola (UNITA) reaffirm their commitment to respect and implement the ""Acordos de Paz para Angola"" (Bicesse), the relevant resolutions of the United Nations Security Council and the Lusaka Protocol.
2. The Government and UNITA recognize that the successful completion of the peace process within the framework of the ""Acordos de Paz para Angola"" (Bicesse). the relevant resolutions of the United Nations Security Council and the Lusaka Protocol is, first and foremost, their own responsibility, and undertake to cooperate fully and in good faith with the United Nations, with a view to the effective and sustained implementation of the peace process.",AGO,,540,,327,1023,20,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,1,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,2,1,0,0,3,0,3,1,3,1,0,1,0,1,3,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,1,0,1,3,2,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,3,1,3,0,1,1,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,1,1,1
Angola,Government,4,"Angola: UNITA process","Africa (excl MENA)",1318,1,"Concepts for Resolving the Issues Still Pending between the Government of the People's Republic of Angola and UNITA (Bicesse Accords)",1993-05-31,"Multiparty signed/agreed",1,2798,Intra,SubPar,FrparOth,,,,AGO,,540,,327,,,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Angola,Government,4,"Angola: UNITA process","Africa (excl MENA)",1316,1,"Ceasefire Agreement (Bicesse Accords)",1991-05-31,"Multiparty signed/agreed",12,76149,Intra,Cea,Ceas,"Government of Angola, UNITA","Apolinario CORREIA, Charge d'affaires a.i.",,AGO,,540,,327,,,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1
Angola,Government,4,"Angola: UNITA process","Africa (excl MENA)",1317,1,"Fundamental principles for the establishment of Peace in Angola (Bicesse Accords)",1991-05-31,"Multiparty signed/agreed",2,3437,Intra,Cea,Rel,"[Note: Actual signatories not listed, although parties appear to be Government of Angola and UNITA]",,,AGO,,540,,327,,,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
