Con,Contp,PP,PPName,Reg,AgtId,Ver,Agt,Dat,Status,Lgt,N_characters,Agtp,Stage,StageSub,Part,ThrdPart,OthAgr,Loc1ISO,Loc2ISO,Loc1GWNO,Loc2GWNO,UcdpCon,UcdpAgr,PamAgr,CowWar,GCh,GChRhet,GChAntid,GChSubs,GChOth,GDis,GDisRhet,GDisAntid,GDisSubs,GDisOth,GAge,GAgeRhet,GAgeAntid,GAgeSubs,GAgeOth,GMig,GMigRhet,GMigAntid,GMigSubs,GMigOth,GRa,GRaRhet,GRaAntid,GRaSubs,GRaOth,GRe,GReRhet,GReAntid,GReSubs,GReOth,GInd,GIndRhet,GIndAntid,GIndSubs,GIndOth,GOth,GOthRhet,GOthAntid,GOthSubs,GOthOth,GRef,GRefRhet,GRefSubs,GRefOth,GSoc,GSocRhet,GSocAntid,GSocSubs,GSocOth,GeWom,GeMe,GeMeNu,GeMeOth,GeLgbti,GeLgbtiPos,GeLgbtiNeg,GeFa,StDef,StGen,StCon,StSd,StRef,StSym,StInd,StUni,StBor,StXbor,Pol,PolGen,PolNewInd,PolNewTemp,ConRen,Cons,Ele,ElecComm,PolPar,PolParTrans,PolParOth,Civso,Tral,Pubad,Polps,PpsSt,PpsSub,PpsEx,PpsOro,PpsOthPr,PpsVet,PpsAut,PpsInt,PpsOth,Terps,TpsSub,TpsLoc,TpsAut,TpsOth,Eps,EpsRes,EpsFis,EpsOth,Mps,MpsMe,MpsJt,MpsPro,MpsOth,HrGen,EqGen,HrDem,Prot,ProtCiv,ProtGrp,ProtLgl,ProtOth,HrFra,HrfSp,HrfBor,HrfTinc,HrfOth,HrCp,CprLife,CprTort,CprEq,CprSlav,CprLib,CprDet,CprFmov,CprFspe,CprFass,CprTria,CprPriv,CprVote,CprReli,CprOth,HrSec,SerProp,SerWork,SerHeal,SerEdu,SerStdl,SerShel,SerSs,SerCult,SerOth,HrNi,HrNiMe,HrNiNe,HrNiOth,HrIi,HrIiMon,HrIiBod,HrIiOth,HrMob,HrDet,Med,MedGov,MedSubs,MedLog,MedOth,HrCit,CitGen,CitRights,CitDef,CitOth,JusCr,JusCrSp,JusCrSys,JusCrPow,JusEm,JusJu,JusPri,JusTra,Dev,DevSoc,DevHum,DevInfra,NEC,NatRes,IntFu,Bus,Tax,TaxPo,TaxRef,TaxOth,Ban,CenBan,BanPers,BanInt,BanXb,LaRef,LaRefMan,LaRefRet,LaRefOth,LaNom,LaCH,LaCHTa,LaCHIt,LaCHPro,LaCHOth,LaEn,Wat,SsrGua,Ce,CeProv,CeGen,SsrPol,SsrArm,SsrDdr,DdrDemil,DdrProg,SsrInt,SsrPsf,SsrFf,Cor,SsrCrOcr,SsrDrugs,Terr,TjGen,TjAm,TjAmPro,TjSan,TjPower,TjAmBan,TjCou,TjJaNc,TjJaIc,TjMech,TjPrire,TjVet,TjVic,TjMis,TjRep,TjRSym,TjRMa,TjNR,ImUN,ImOth,ImRef,ImPK,ImE,ImSrc
Algeria,Government,3,"Algeria: Bouteflika Process","Middle East and North Africa",1595,1,"Project de charte pour la paix et la réconciliation nationale",2005-08-14,"Unilateral document",6,31542,Intra,SubPar,MultIss,"The Government of Algeria ",,"- Declaration of November 1954 ",DZA,,615,,386,,,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1
Algeria,Government,3,"Algeria: Bouteflika Process","Middle East and North Africa",1738,1,"Texts for Implementing Acts relating to the Restoration of Civil Harmony",1999-07-20,"Unilateral document",8,20128,Intra,Imp,ImpMod,"Government of Algeria (signed by Smail Hamdani, prime minister)",,,DZA,,615,,386,,,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,1
Algeria,Government,3,"Algeria: Bouteflika Process","Middle East and North Africa",1737,1,"Civil Harmony Act",1999-07-13,"Unilateral document",7,17090,Intra,SubPar,Iss,"President and parliament of Algeria (signed by Abdelaziz Bouteflika, President of Algeria)",,,DZA,,615,,386,,,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,3,1,0,0,0,1,1,0,0,2,0,2,0,2,0,1,0,0,0,0,0,0,1
Algeria,Government,3,"Algeria: Bouteflika Process","Middle East and North Africa",1255,1,"Plate-forme de l'entente nationale",1996-09-17,"Multiparty signed/agreed",9,25404,Intra,SubPar,Iss,"LISTE DES PARTIS POLITIQUES, ORGANISATIONSET ASSOCIATIONS NATIONALES CONCERNES
PAR LA SIGNATURE DE LA PLATE-FORME DE L'ENTENTE NATIONALE  - 14 - 15 SEPTEMBRE 1996

PARTIS POLITIQUES
SBENHAMOUDA Boualem, Secrétaire général du Parti du Front de Libération Nationale
TALEB Mohamed Chérif, Président du Parti National pour la Solidarité et le Développement
BOUKROUH Noureddine, Président du Parti du Renouveau Algérien
KHELIL Ahmed, Président du Parti Social Libéral
DJABALLAH Abdellah, Président du Mouvement de la Nahda Islamique
MERBAH Abdelkader Secrétaire général du Mouvement Algérien pour la Justice et le Développement
NAHNAH Mahfoud, Président du Mouvement de la Société Islamique HAMAS
MALEKRéda, Président de l'Alliance Nationale Républicaine
BENDRIDI Ibrahim, Président du Front du Salut National
BELHADJ Khelil, Président du Parti de l'Union Arabe Islamique Démqcratique
SASSI Mebrouk, Secrétaire Général du Parti Progressiste Démocratique
HAMIDOU Redouane, Président du Mouvement de la Jeunesse Démocratique
LASSOUED Amar, Président du Mouvement des Forces Arabo-Islamiques
ZEGHDOUD Ali, Président du Rassemblement Arabo-lslamique
MEGDOUD Foudil, Président de l'Union du Peuple Algérien
SAAD Mohamed, Président du Front du Djihad pour l'Unité
YOUSFI Mohamed, Président du Front des Générations de l'indépendance
SEDDIKI Abdelkrim, Coordinateur de l'Union pour la Démocratie et les Libertés
TLEMÇANI Mustapha, Président 'du Front des Forces Populaires
BELHAI Abdelkader, Président du Parti du Rassemblement National Algérien
LEKAL Yacine, Président du Rassemblement pour L'Unité Nationale
AINOUCHE Mohand Ameziane, Président du HIZBOLHAQ
LAKHDARI Lazhar, Secrétaire général du Rassemblement des Jeunes de la Nation Algérienne
SENIGR} Mohamed Ali, Président du Parti National Démocratique Socialiste
BOUACHA Amar, Président du Mouvement National des Jeunes Algériens et Algériennes
RABIE Naji, Président du Parti Libérateur Juste
AKIF Abderrahmane, Président du Mouvement National pour la Nature et le Développement

ORGANISATIONS NATIONALES
BENHAMOUDA Abdelhak, Secrétaire général de l'Union Générale des Travailleurs Algériens
ABBES Mohamed Chérif, Secrétaire général de !'Organisation Nationale des Moudjahidine
NAIMI Abdelkader, Secrétaire général de l'Union Nationale des Paysans Algériens et des Travailleurs du Secteur Agricole
BENBAIBECHE Tahar, Secrétaire général de !'Organisation Nationale des Enfants de Chouhada
BOUZGHOUB Mohamed Tahar, Président de l'Association Nationale des Retraités de l'A.N.P.
KHALFA Mebarek, Secrétaire général de l'Organisation Nationale des Enfants de Moudjahidine
TOUATI Moussa, Coordinateur national de la Coordination Nationale des Enfants de Chouhada

ORGANISATIONS PATRONALES PUBLIQUES ET PRIVEES
PATRONAT PUBLIC
Mr. SLIMANI ALI, Secrétaire général del'Union Nationale des Entrepreneurs Publics (UNEP)
Pour les associations suivantes:
Fédération des Associations des Gestionnaires des Petites et Moyennes Entreprises Publiques
Union Nationale des Entrepreneurs Publics

PATRONAT PRIVE
Mr. TITAH Mohamed Lamine, Président de la Confédération Algérienne du Patronat (CAP)
Pour les associations suivantes:
Association des Chefs d'Entreprises
Confédération Générale des Opérateurs Economiques Algériens
Confédération Algérienne du Patronat
Confédération Nationale du Patronat Algérien
Assoçiation pour la Promotion des Femmes Managers

ASSOCIATIONS DE JEUNES
Mr. BELAID Nourreddine, Commissaire Général des Scouts Musulmans Algériens (SMA)
Pour les associations suivantes :
Fédération Nationale des Associations des Personnes Handicapées
Association Algérienne des Activités Scientifiques et Techniques de la Jeunesse
Association Nationale des Activités de Plein-Air, de Loisirs et des Echanges de Jeunes
Association Nationale de Volontariat (TOUIZA)
Scouts Musulmans Algériens
Association nationale pour la Promotion et la Protection de la Femme et de la jeune fille
Union Nationale des Etudiants Algériens
Association Nationale pour la Promotion et l'intégration des Jeunes
Union Nationale de la Jeunesse Algérienne
Association pour la Promotion de la Culture et du Tourisme Etudiant
Association Nationale des Echanges de Jeunes
Association Algérienne de l'information et de la Communication
Union Générale des Etudiants Libres
Association Algérienne des Jeunes Intellectuels
Association Nationale Jeunes pour la Santé, la Culture et le Développement
Association Nationale des Jeunes Avocats

ASSOCIATIONS FEMININES
Mme BARKI Aïcha Présidente de l'Association Nationale pour la Lutte contre l' Analphabétisme (IQRA)
Pour les associations suivantes:
Association Voix de Femmes,
Association Nationale pour la Lutte contre l'Analphabétisme
Mouvement des Femmes Algériennes pour la Solidarité avec la Famille Rurale
Association Nationale des Familles Victimes du Terrorisme
Associ.ation Nationale de Soutien aux Enfants en Difficulté en Institution
Rassemblement des Femmes Nationalistes Algériennes",,"- principles of November 1st, 1954  ",DZA,,615,,386,,,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,3,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Algeria,Government,3,"Algeria: Bouteflika Process","Middle East and North Africa",1044,1,"Plate-forme pour une solution politique et pacifique de la crise algérienne (Plate-forme de Rome)",1995-01-13,"Multiparty signed/agreed",4,7534,Intra,Pre,Prin,"Pour la LADDH : Abdennour Ali Yahyia
Pour le FLN : Abdelhamid Mehri
Pour le FFS : Hocine Aït Ahmed ; Ahmed Djeddai
Pour le FIS : Rabah Kebir ; Anwar Haddam
Pour le PT : Louisa Hanoune
Pour le MDA : Ahmed Ben Bella ; Khaled Bensmain
Pour Ennahda : Abdallah Jaballah
Pour le JMC : Ahmed Ben Mouhammed",,"- The declaration of November 1, 1954: “The restoration of the sovereign democratic Algerian state governed by the principles of Islam (article 1)”;
",DZA,,615,,386,,,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,1,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,1,0,0,0,1,0,1
Algeria,Government,3,"Algeria: Bouteflika Process","Middle East and North Africa",484,1,"Plate-forme portant consensus national sur la période transitoire",1994-01-26,"Multiparty signed/agreed",12,24372,Intra,Pre,Prin,"Dr. Youcef KHATIB, President of the Committee for National Dialogue and President of the Conference on National Consensus
",,,DZA,,615,,386,,,875,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,3,0,0,1,3,0,1,0,2,0,1,1,0,1,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bahrain,Government,10,"Bahrain: Reform-based peace process","Middle East and North Africa",1412,1,"His Majesty Delivers a Speech to Citizens Concerning Request to Amend Some Articles of the Constitution, 15 January 2012",2012-01-15,"Unilateral document",3,8252,Intra,Imp,ImpMod,"His Majesty King Hamad bin Isa Al Khalifa",,"National Action Charter; National Consensus Dialogue; Royal Decree to refer to the Council of Representatives and the Shura Council, requesting the constitutional amendments as stated in the recommendations of the National Consensus Dialogue; ",BHR,,692,,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,1,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bahrain,Government,10,"Bahrain: Reform-based peace process","Middle East and North Africa",1415,1,"Bahrain National Dialogue Proposals, Executive Summary",2011-07-28,"Status unclear",7,19633,Intra,SubComp,FrAg,"300 participants; 37% from political societies, 36% from civil and non-governmental organisations, 21% from opinion leaders and prominent figures within the Kingdom of Bahrain and 6% from the media.

Civil and non-governmental organisations had a representation percentage of 12% for professional societies, 9% for social societies, 5% for women societies, 5% for youth societies, 3% for the various labour unions and 2% representation from the Bahrain Chamber of Commerce and Industry.",,,BHR,,692,,NA,NA,NA,NA,3,0,0,1,0,3,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,1,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
Bahrain,Government,10,"Bahrain: Reform-based peace process","Middle East and North Africa",1414,1,"Royal Order No.28 of 2011, Establishing an Independent Commission to Investigate and Report on the Events Which Occurred in Bahrain in February/March 2011",2011-06-29,"Unilateral document",2,5988,Intra,SubPar,Iss,"Hamad Bin Isa Al Khalifa",,,BHR,,692,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bahrain,Government,10,"Bahrain: Reform-based peace process","Middle East and North Africa",1413,1,"Speech by King Hamad Bin Isa Al-Khalifi on Reform, 1 June 2011",2011-06-01,"Unilateral document",2,5995,Intra,SubPar,Iss,"King Hamad bin Khalifa",,"Charter of National Action;  National Unity Gathering's last statement; ",BHR,,692,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
